Cedula;Nombre;Sexo;eCivil;Nacido;Salario;Provincia;Politico
603330276;Zarate Hidalgo, Nestor;M;C;04/04/1980;1710000;Heredia;Unidad Social Cristiana
704730146;Varela Noguera, Francini;M;V;31/01/1999;1900000;San José;Acción Ciudadana
207700970;Ojeda Esquivel, William;M;C;03/09/1963;475000;Limón;Renovación Costarricense
705780544;Fournier Cubero, Verónica;M;V;04/02/1971;2755000;Guanacaste;Accesibilidad sin Exclusión
108900815;Jerez Cespedes, Zacarías;M;V;24/07/1990;1045000;Cartago;Liberación Nacional
306720705;Gamboa Abarca, Osvaldo;F;C;08/12/1976;760000;San José;Liberación Nacional
601510651;Herrera Almengor, Ever;M;C;16/05/1970;2090000;Heredia;Acción Ciudadana
706040334;Zarate Iglesias, Diana;M;U;30/10/1983;950000;Heredia;Liberación Nacional
408160380;Zarate Barboza, German;F;U;26/02/1974;475000;Heredia;Liberación Nacional
702930537;Vallejo Chavarría, Zoe;M;V;24/10/1985;1140000;Cartago;Movimiento Libertario
706410915;Pacheco Saborío, Sandra;F;V;13/03/1990;1615000;Alajuela;Liberación Nacional
301130919;Hernández Cubero, Melania;F;D;21/08/1980;1710000;Heredia;Frente Amplio
707310851;Fournier Obregón, William;M;S;02/03/1989;760000;Guanacaste;Liberación Nacional
602070134;Talavera Padilla, Walter;F;U;06/01/1978;760000;Heredia;Liberación Nacional
508160295;Ureña Cespedes, Orlando;M;C;07/02/1984;1710000;Cartago;Republicano Social Cristiano
101880443;Ojeda Hidalgo, Nidia;F;V;23/07/1999;0;Limón;Republicano Social Cristiano
404770046;Sáenz Jaén, Teodóro;M;C;21/01/1966;3230000;San José;Movimiento Libertario
608530105;Flores Sanchez, Tania;M;D;06/05/1968;2470000;Guanacaste;Accesibilidad sin Exclusión
707070964;Quintana Quiroga, Ingrid;F;S;11/03/1962;380000;Cartago;Republicano Social Cristiano
601830136;Fajardo Barahona, Kevin;M;S;13/12/1970;1140000;Cartago;Frente Amplio
400060681;Rivera Ramírez, Patricia;M;C;10/12/1973;2565000;Cartago;Accesibilidad sin Exclusión
101030051;Wright Flores, Ignacio;F;U;10/04/1978;1140000;Alajuela;Acción Ciudadana
600620633;Gamboa Jaén, Luis;F;V;20/08/1981;475000;Cartago;Republicano Social Cristiano
105810612;Ballesteros Tijerino, Ofelia;F;V;05/04/1998;1330000;Heredia;Renovación Costarricense
507000611;Quintana Sanchez, Ernesto;M;S;03/12/1995;1995000;Heredia;Accesibilidad sin Exclusión
507490334;Flores Fernández, Carlos;F;D;06/07/1987;2090000;Limón;Acción Ciudadana
704360369;Mendez Esquivel, Melania;F;S;28/04/1967;2470000;Puntarenas;Partido Integración Nacional
708190208;Trujillo Sáenz, Zulema;F;C;06/06/1988;2565000;San José;Acción Ciudadana
103570803;Espinoza Urbina, Pedro;M;S;03/08/1974;190000;Heredia;Acción Ciudadana
207330836;Acevedo Ibanez, Yvone;M;C;06/10/1989;570000;Limón;Unidad Social Cristiana
